qid,lang,query,domain,rep,verdict,refusal_code,wall_ms,t_core_ms,mode
1102432,hi,कॉर्पोरेशन क्या है?,in,0,ANSWERED,,5987.95,5975.83,extractive
1102432,en,. what is a corporation?,in,0,ANSWERED,,48.2,45.51,extractive
1102431,hi,रेचल कार्सन ने क्यों एक दायित्व बर्दाश्त करने के लिए लिखा,in,0,ANSWERED,,50.48,48.28,extractive
1102431,en,why did rachel carson write an obligation to endure,in,0,ANSWERED,,54.06,51.94,extractive
205107,hi,ईमानदारी या सच्चाई की परिभाषा,in,0,ANSWERED,,52.08,49.48,extractive
205107,en,honesty or integrity definition,in,0,ANSWERED,,53.05,50.36,extractive
300122,hi,फ्रैंक गिफोर्ड ने कितनी महिलाओं से शादी की,in,0,ANSWERED,,44.36,42.13,extractive
300122,en,how many women did frank gifford marry,in,0,ANSWERED,,53.47,51.25,extractive
233826,hi,बाज़ कितनी तेजी से यात्रा करता है,in,0,ANSWERED,,45.96,43.83,extractive
233826,en,how fast does an eagle travel,in,0,ANSWERED,,49.27,46.86,extractive
1090355,hi,स्टबहब टोल फ्री नंबर,in,0,ANSWERED,,45.53,43.03,extractive
1090355,en,stubhub toll free number,in,0,ANSWERED,,45.3,42.83,extractive
165349,hi,क्या डेल्टा बैंगलोर के लिए उड़ान भरता है?,in,0,ANSWERED,,44.68,42.59,extractive
165349,en,does delta fly to bangalore,in,0,ANSWERED,,54.42,52.08,extractive
260880,hi,कैंटालूप को कितने समय तक परिपक्व होना है,in,0,ANSWERED,,48.1,45.49,extractive
260880,en,how long for cantaloupe to mature,in,0,ANSWERED,,44.69,42.45,extractive
116898,hi,परिभाषा मनमानी है,in,0,ANSWERED,,46.5,44.03,extractive
116898,en,defination arbitrary,in,0,ANSWERED,,55.8,53.42,extractive
1060361,hi,किन्ना पारस्परिक आदान-प्रदान होता है और इसकी समस्याएं क्या हैं,in,0,ANSWERED,,49.19,46.9,extractive
1060361,en,what is barter system and its problems,in,0,ANSWERED,,46.68,44.25,extractive
1090353,hi,जलवायु मौसम का अध्ययन,in,0,ANSWERED,,45.61,43.5,extractive
1090353,en,study of climate weather,in,0,ANSWERED,,45.49,43.26,extractive
1102432,bn,কর্পোরেশন কী?,in,0,ANSWERED,,44.58,42.16,extractive
1102431,bn,র‍্যাচেল কারসন কেন একটি বাধ্যবাধকতা সহ্য করার জন্য লিখেছিলেন,in,0,ANSWERED,,44.42,41.64,extractive
205107,bn,সততা বা সততার সংজ্ঞা,in,0,ANSWERED,,39.84,37.48,extractive
300122,bn,ফ্র্যাঙ্ক গিফোর্ড কতজন মহিলাকে বিয়ে করেছিলেন,in,0,ANSWERED,,42.11,39.67,extractive
233826,bn,একটি ঈগল কত দ্রুত ভ্রমণ করে।,in,0,ANSWERED,,42.33,39.81,extractive
1090355,bn,স্টাবহাব টোল ফ্রি নম্বর,in,0,ANSWERED,,40.68,38.53,extractive
165349,bn,ডুবলুমধ্য বাঁক বাঁগালোরে উড়ে যায়,in,0,ANSWERED,,43.19,40.91,extractive
260880,bn,কতদিন করে ক্যান্টালুপ পাকাবে।,in,0,ANSWERED,,41.86,39.2,extractive
116898,bn,সংজ্ঞা নির্ধারণ নির্বিচারে,in,0,ANSWERED,,39.72,37.44,extractive
1060361,bn,বার্টার সিস্টেম এবং এর সমস্যা কী,in,0,ANSWERED,,41.62,39.44,extractive
